processador,ram,ssd,preco,link
"Processador Intel Core i5-9400F Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400F",,,"as R$3.666,00 10x de R$366,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400f-geforce-gt-1030-2gb-8gb-ddr4-hd-1tb-500w-raider
"Processador AMD Ryzen 5 3600 Hexa-Core 3.6GHz (4.2GHz Turbo) 35MB Cache AM4, 100-100000031BOX",,,"as R$3.749,00 10x de R$374,90 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3600-geforce-gt-1030-2gb-8gb-ddr4-hd-1tb-500w-raider
"Processador Intel Core i5-9400F Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400F",,,"as R$3.177,00 10x de R$317,70 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400f-radeon-r5-220-2gb-8gb-ddr4-hd-1tb-500w-combat
"Processador Intel Core i5-9400F Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400F",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$2.967,00 10x de R$296,70 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400f-radeon-r5-220-2gb-8gb-ddr4-ssd-128gb-m-2-500w-combat
"Processador AMD A6-9500 Dual-Core 3.5GHz (3.8GHz Turbo) 1MB Cache AM4, AD9500AGABBOX",,,"as R$1.925,00 10x de R$192,50 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-apu-a6-9500-3-5ghz-8gb-ddr4-hd-1tb-500w-pbs306
"Processador Intel Core i5-9400 Hexa-Core 2.9GHz (4.1GHz Turbo) 9MB Cache LGA1151, BX80684I59400",,,"as R$2.986,00 10x de R$298,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-9400-8gb-ddr4-hd-1tb-500w-tgt-raider
"Processador AMD Ryzen 5 3600 Hexa-Core 3.6GHz (4.2GHz Turbo) 35MB Cache AM4, 100-100000031BOX",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$3.173,00 10x de R$317,30 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-ryzen-5-3600-radeon-r5-220-2gb-8gb-ddr4-ssd-256gb-500w-raider
,,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$1.566,00 10x de R$156,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-celeron-j4005-dual-core-8gb-ddr4-ssd-256gb-500w-pbs306
"Processador Intel Pentium G4560 Dual-Core 3.5GHz 3MB Cache LGA1151, BX80677G4560-OEM",,,"as R$1.949,88 10x de R$194,99 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-g4560-8gb-ddr4-hd-1tb-500w-cooler-f50-raider
"Processador Intel Core i3-10100F Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100F",,,"as R$3.112,00 10x de R$311,20 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100f-geforce-gt-1030-2gb-8gb-ddr4-hd-1tb-500w-raider
"Processador Intel Core i3-10100F Quad-Core 3.6Ghz (4.3Ghz Turbo) 6MB Cache LGA1200, BX8070110100F",,"SSD Lexar NM100 128GB M.2 2280 Sata 6GB/s, LNM100-128RBNA","as R$2.902,00 10x de R$290,20 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i3-10100f-geforce-gt-1030-2gb-8gb-ddr4-ssd-128gb-m-2-500w-raider
"Processador Intel Core i5-10400F Hexa-Core 2.9Ghz (4.3Ghz Turbo) 12MB Cache LGA1200, BX8070110400F",,"SSD Pichau Gaming 512GB 2.5"" Sata 6GB/s, PG512X","as R$3.516,00 10x de R$351,60 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-i5-10400f-radeon-r5-220-2gb-8gb-ddr4-ssd-512gb-500w-raider
"Processador AMD A8-9600 Quad-Core 3.1GHz (3.4GHz Turbo) 2MB Cache AM4, AD9600AGM44AB",,"SSD Pichau Gaming 256GB 2.5"" Sata 6GB/s, PG256X","as R$1.772,73 10x de R$177,27 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-a8-9600-8gb-ddr4-ssd-256gb-500w-cooler-f50-raider
"Processador AMD A8-9600 Quad-Core 3.1GHz (3.4GHz Turbo) 2MB Cache AM4, AD9600AGM44AB",,,"as R$1.818,07 10x de R$181,81 sem juros no cartão",https://www.pichau.com.br/computadores/pichau-home/computador-pichau-home-amd-a8-9600-8gb-ddr4-hd-1tb-500w-combat
